;Nina guide


#introduction
Section
Nina Williams is very well-rounded and has some of the best small Tekken in the game. She is a jack of all trades while excelling at range 0 poking. Her main game plan is to overwhelm and suffocate opponents at range 0 and search for counter hits while making reads. Though it is worth noting that she has various play styles thanks to her very diverse and complete move list, and most top-level Nina players pilot her quite differently.
"She is 1 of 3 back-sway characters, which makes Korean back-dashing with her harder than with other characters. She also has a unique movement option known as ""[Hayashida-step](qcb)"", which is evasive. Her main plus frames come from ""ss1"" canceling, ""[running 1+2](f,f,f+1+2)"" and ""db3"". SS1 canceling requires execution to be able to utilize as many of the plus frames as possible, even though it is +10 on block. In reality, with a good cancel, it is more like +5 to +7 and takes some practice to be able to execute the unique input. She also notably has her iconic butterfly loops, which are not really needed in this game, thanks to strong aerial tail spins, though they are still there to provide more combo routes, and most of her launchers' max damage routes still involve them."
"She also has setups involving her unbreakable betrayer throw from back sway (""qcb, B+1+3""). She has very strong wall pressure since the opponent cannot backdash out of range of her ss1, which makes dealing with ss1 a lot harder for them, since from this move, Nina has ways to punish a lot of options the defender has."

#strengths
Strength
"Rushdown and Lockdown: Nina has the tools to stay in her opponent's face and lock them down with buttons like ""[sidestep 1](SS 1)"""
Nina is super well-rounded and specializes in poking/small Tekken
She has a full throw game and the ability to delete gray health from them
Amazing combo game and wall carry
"Very strong heat options and chip damage from buttons like ""H.f3+4, 2"", ""H.b1+2"", etc."


#weaknesses
Weakness
Characters with 14f launchers can be difficult to deal with, since she has a lot of moves that are -14 on block
Very demanding in execution: Nina requires a lot of practice and cannot simply be picked up immediately. Stuff like perfect korean backdash, ss1 cancels, Hayashida step, and her high damage combos need a lot of time to master and are necessary to get better with her
Characters with strong keepout: Nina excels at range 0, so she has trouble against characters that can create space and keep her out easily
She requires you to make a lot of reads and condition your opponent to block, since pressure from a lot of her buttons can be challenged/interrupted

#heat_system
Mechanic
"Nina has a very good heat game, mainly because she gains access to her amplified guns. Buttons like ""f3+4,2"", ""b1+2"", ""1,2,1, 1+2"", ""df1,2,1,1+2"", ""ws1,1+2"" and ""b3+4, 1+2"" become a nightmare to deal with. She gains stronger punishment because of her ""db1+2"" and her ""f3+4,1"" heatdash, and ""ws1, 1+2"" damage and wallsplat range. Having the constant threat of doing 100+ damage from a heat gun wallsplat conditions your opponent to block, which allows you to rush them down and slowly chip them away."
"The fact that Nina has multiple options to delete gray health makes her heat and chip damage even better.(chain throws,""df2+4"", ""b1+2"" , ""FC df+2"")"
Nina's heatsmash is fast, high crushes, floor breaks, giving a full combo and fully tracks to her weakside!

#key_moves
Command;Description
ss1;"Her best move and her main way to start her pressure with plus frames. From ss1, you can hold forward and be +10, where you have access to all your qcf and while standing moves, or you can choose to hold back and go into backsway, which can be canceled by a sidestep and gives her access to her whole move list. A perfect cancel is about +6 on block, and since she cancels into a sidestep, you can also loop her sidestep moves. Best options from ss1: ss1~""[qcf1+2](f,f,f+1+2)"", ss1~""qcf1"", ss1~""qcf3"", ss1~""qcf2"", ss1~""df1,2"", ss1~""db3"", ss1~""ss1"""
